"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","frmA",0,1,0,0,0,0,0,0,0
"2","marA",1,0,1,0,0.133333333333333,0.133333333333333,0.2,0.533333333333333,0
"3","rprA",1,0,1,0,0,0.111111111111111,0.111111111111111,0.777777777777778,0
"4","phoP",1,0,0,1,0,0,0,1,0
"5","rclB",0,1,0,0,0,0,0,0,0
"6","tsuA",0,1,0,0,0,0,0,0,0
"7","tsuB",0,1,0,0,0,0,0,0,0
"8","hiuH",0,1,0,0,0,0,0,0,0
"9","msrP",0,1,0,0,0,0,0,0,0
"10","msrQ",0,1,0,0,0,0,0,0,0
"11","yjgH",0,1,0,0,0,0,0,0,0
"12","bdcA",0,1,0,0,0,0,0,0,0
"13","yfcF",0,1,0,0,0,0,0,0,0
"14","recN",0,1,0,0,0,0,0,0,0
"15","nfo",0,1,0,0,0,0,0,0,0
"16","hscA",0,1,0,0,0,0,0,0,0
"17","iscX",0,1,0,0,0,0,0,0,0
"18","cbl",0,1,0,0,0,0,0,0,0
"19","cysC",0,1,0,0,0,0,0,0,0
"20","cysH",0,1,0,0,0,0,0,0,0
"21","cysA",0,1,0,0,0,0,0,0,0
"22","cysW",0,1,0,0,0,0,0,0,0
"23","bhsA",0,1,0,0,0,0,0,0,0
"24","ldtC",0,1,0,0,0,0,0,0,0
"25","comR",0,1,0,0,0,0,0,0,0
"26","kefC",0,1,0,0,0,0,0,0,0
"27","tcyN",0,1,0,0,0,0,0,0,0
"28","msrP",0,1,0,0,0,0,0,0,0
"29","msrQ",0,1,0,0,0,0,0,0,0
"30","cynT",0,1,0,0,0,0,0,0,0
"31","cynS",0,1,0,0,0,0,0,0,0
"32","cynX",0,1,0,0,0,0,0,0,0
"33","yqhG",0,1,0,0,0,0,0,0,0
"34","arnB",0,1,0,0,0,0,0,0,0
"35","osmY",0,1,0,0,0,0,0,0,0
"36","gadB",0,1,0,0,0,0,0,0,0
"37","dps",0,1,0,0,0,0,0,0,0
"38","add",0,1,0,0,0,0,0,0,0
"39","ahpF",0,1,0,0,0,0,0,0,0
"40","clpB",0,1,0,0,0,0,0,0,0
"41","dnaJ",0,1,0,0,0,0,0,0,0
"42","dnaK",0,1,0,0,0,0,0,0,0
"43","grxA",0,1,0,0,0,0,0,0,0
"44","gshA",0,1,0,0,0,0,0,0,0
"45","gshB",0,1,0,0,0,0,0,0,0
"46","marB",0,1,0,0,0,0,0,0,0
"47","marR",1,0,0,1,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0
"48","proP",0,1,0,0,0,0,0,0,0
"49","htpX",0,1,0,0,0,0,0,0,0
"50","katG",0,1,0,0,0,0,0,0,0
"51","groL",0,1,0,0,0,0,0,0,0
"52","groS",0,1,0,0,0,0,0,0,0
"53","hslO",0,1,0,0,0,0,0,0,0
"54","hslU",0,1,0,0,0,0,0,0,0
"55","hslV",0,1,0,0,0,0,0,0,0
"56","htpG",0,1,0,0,0,0,0,0,0
"57","osmB",0,1,0,0,0,0,0,0,0
"58","ybjC",0,1,0,0,0,0,0,0,0
"59","yccA",0,1,0,0,0,0,0,0,0
"60","spy",0,1,0,0,0,0,0,0,0
"61","yebE",0,1,0,0,0,0,0,0,0
"62","nrdF",0,1,0,0,0,0,0,0,0
"63","phoB",1,0,0,1,0,0,0,1,0
"64","phoU",0,1,0,0,0,0,0,0,0
"65","ahpC",0,1,0,0,0,0,0,0,0
"66","fdx",0,1,0,0,0,0,0,0,0
"67","ndh",0,1,0,0,0,0,0,0,0
"68","pepB",0,1,0,0,0,0,0,0,0
"69","pstA",0,1,0,0,0,0,0,0,0
"70","pstB",0,1,0,0,0,0,0,0,0
"71","pstC",0,1,0,0,0,0,0,0,0
"72","pstS",0,1,0,0,0,0,0,0,0
"73","tcyJ",0,1,0,0,0,0,0,0,0
"74","rpoS",1,0,0.464566929133858,0.535433070866141,0.0078740157480315,0.0354330708661417,0.18503937007874,0.771653543307085,0
"75","mcbA",0,1,0,0,0,0,0,0,0
"76","iscR",0,1,0,0,0,0,0,0,0
"77","nrdE",0,1,0,0,0,0,0,0,0
"78","nrdH",0,1,0,0,0,0,0,0,0
"79","nrdI",0,1,0,0,0,0,0,0,0
"80","sufA",0,1,0,0,0,0,0,0,0
"81","sufB",0,1,0,0,0,0,0,0,0
"82","sufC",0,1,0,0,0,0,0,0,0
"83","sufD",0,1,0,0,0,0,0,0,0
"84","sufE",0,1,0,0,0,0,0,0,0
"85","sufS",0,1,0,0,0,0,0,0,0
"86","sodA",0,1,0,0,0,0,0,0,0
"87","msrA",0,1,0,0,0,0,0,0,0
"88","sodB",0,1,0,0,0,0,0,0,0
"89","iscA",0,1,0,0,0,0,0,0,0
"90","chaA",0,1,0,0,0,0,0,0,0
"91","uspE",0,1,0,0,0,0,0,0,0
"92","cysK",0,1,0,0,0,0,0,0,0
"93","osmC",0,1,0,0,0,0,0,0,0
"94","iscU",0,1,0,0,0,0,0,0,0
"95","phoA",0,1,0,0,0,0,0,0,0
"96","yqhD",0,1,0,0,0,0,0,0,0
"97","pspA",0,1,0,0,0,0,0,0,0
"98","inaA",0,1,0,0,0,0,0,0,0
"99","soxS",1,0,0.136363636363636,0.863636363636363,0.0454545454545455,0.136363636363636,0.181818181818182,0.636363636363636,0
"100","cysM",0,1,0,0,0,0,0,0,0
"101","lysA",0,1,0,0,0,0,0,0,0
"102","frmR",0,1,0,0,0,0,0,0,0
"103","cysD",0,1,0,0,0,0,0,0,0
"104","cysN",0,1,0,0,0,0,0,0,0
"105","cysJ",0,1,0,0,0,0,0,0,0
"106","uspA",0,1,0,0,0,0,0,0,0
"107","osmE",0,1,0,0,0,0,0,0,0
"108","otsB",0,1,0,0,0,0,0,0,0
"109","sodC",0,1,0,0,0,0,0,0,0
"110","yfcG",0,1,0,0,0,0,0,0,0
"111","otsA",0,1,0,0,0,0,0,0,0
"112","hscB",0,1,0,0,0,0,0,0,0
"113","katE",0,1,0,0,0,0,0,0,0
"114","degP",0,1,0,0,0,0,0,0,0
"115","cysI",0,1,0,0,0,0,0,0,0
"116","cpxP",0,1,0,0,0,0,0,0,0
"117","cysP",0,1,0,0,0,0,0,0,0
"118","frmB",0,1,0,0,0,0,0,0,0
"119","soxR",1,0,1,0,0,0.5,0.5,0,0
"120","sbp",0,1,0,0,0,0,0,0,0
"121","iscS",0,1,0,0,0,0,0,0,0
"122","yciW",0,1,0,0,0,0,0,0,0
"123","clpP",0,1,0,0,0,0,0,0,0
"124","phoR",0,1,0,0,0,0,0,0,0
"125","yhhW",0,1,0,0,0,0,0,0,0
